height,time
693,1232103320
695,1232104729
697,1232107288
698,1232107813
700,1232108688
701,1232109864
703,1232110280
702,1232110073
704,1232111152
707,1232113906
706,1232112566
705,1232111780
699,1232108064
708,1232114037
709,1232115216
711,1232118179
710,1232116727
712,1232119286
713,1232119341
714,1232119917
717,1232122736
718,1232124164
716,1232122161
719,1232125432
715,1232120951
720,1232125633
722,1232127258
721,1232126326
723,1232128717
724,1232129602
726,1232132250
727,1232132515
725,1232131033
728,1232133515
729,1232133558
730,1232134449
731,1232134905
733,1232136547
732,1232135969
734,1232137444
735,1232138546
738,1232140366
736,1232139204
737,1232139727
740,1232141960
739,1232141054
741,1232142119
742,1232143308
743,1232144951
745,1232147265
744,1232146460
749,1232151146
750,1232152343
746,1232148780
748,1232150102
747,1232150041
753,1232153864
754,1232154634
751,1232152910
755,1232155719
752,1232153225
756,1232156539
757,1232156739
758,1232157221
759,1232158170
760,1232158840
762,1232160698
764,1232162276
763,1232161744
765,1232163166
767,1232164279
761,1232159437
766,1232164242
768,1232165677
769,1232166977
770,1232168140
771,1232168513
773,1232169303
772,1232168636
774,1232169696
776,1232171865
775,1232171060
777,1232171948
779,1232173741
778,1232172535
780,1232174964
782,1232177092
781,1232175823
785,1232180282
783,1232177364
784,1232179003
787,1232180879
786,1232180428
788,1232180896
789,1232181334
791,1232183635
792,1232184950
790,1232182083
793,1232186294
795,1232188579
796,1232189223
794,1232187625
798,1232192234
799,1232193674
800,1232194705
802,1232195855
797,1232190699
801,1232195440
803,1232196066
805,1232196637
807,1232198652
804,1232196222
806,1232198028
808,1232199450
809,1232199992
811,1232201404
812,1232201792
810,1232200390
813,1232201977
814,1232202799
817,1232205957
819,1232206702
818,1232206467
816,1232204591
815,1232203123
820,1232207788
821,1232208241
822,1232208484
823,1232209980
824,1232210734
825,1232211036
827,1232212551
828,1232213029
830,1232213554
826,1232211605
829,1232213194
831,1232214634
832,1232215545
833,1232216501
834,1232217508
835,1232218747
836,1232219534
838,1232220551
839,1232221146
837,1232219953
841,1232223492
842,1232223930
840,1232222636
843,1232224123
844,1232224537
846,1232225685
845,1232224643
847,1232226781
848,1232227629
850,1232229891
849,1232228695
851,1232230156
852,1232230602
853,1232231701
854,1232233355
855,1232234595
857,1232236630
856,1232235821
859,1232238172
858,1232237414
860,1232239516
863,1232242395
862,1232241151
861,1232240418
864,1232243472
865,1232243873
